chave_data,data,ano,mes,dia,nome_dia_semana,fim_de_semana,trimestre,alta_temporada,feriado,nome_feriado
20161204,2016-12-04,2016,12,4,Domingo,1,4,0,0,
20161205,2016-12-05,2016,12,5,Segunda-feira,0,4,0,0,
20161206,2016-12-06,2016,12,6,Terça-feira,0,4,0,0,
20161207,2016-12-07,2016,12,7,Quarta-feira,0,4,0,0,
20161208,2016-12-08,2016,12,8,Quinta-feira,0,4,0,0,
20161209,2016-12-09,2016,12,9,Sexta-feira,0,4,0,0,
20161210,2016-12-10,2016,12,10,Sábado,1,4,0,0,
20161211,2016-12-11,2016,12,11,Domingo,1,4,0,0,
20161212,2016-12-12,2016,12,12,Segunda-feira,0,4,0,0,
20161213,2016-12-13,2016,12,13,Terça-feira,0,4,0,0,
20161214,2016-12-14,2016,12,14,Quarta-feira,0,4,0,0,
20161215,2016-12-15,2016,12,15,Quinta-feira,0,4,0,0,
20161216,2016-12-16,2016,12,16,Sexta-feira,0,4,0,0,
20161217,2016-12-17,2016,12,17,Sábado,1,4,0,0,
20161218,2016-12-18,2016,12,18,Domingo,1,4,0,0,
20161219,2016-12-19,2016,12,19,Segunda-feira,0,4,0,0,
20161220,2016-12-20,2016,12,20,Terça-feira,0,4,0,0,
20161221,2016-12-21,2016,12,21,Quarta-feira,0,4,0,0,
20161222,2016-12-22,2016,12,22,Quinta-feira,0,4,0,0,
20161223,2016-12-23,2016,12,23,Sexta-feira,0,4,0,0,
20161224,2016-12-24,2016,12,24,Sábado,1,4,0,1,Véspera de Natal
20161225,2016-12-25,2016,12,25,Domingo,1,4,0,1,Natal
20161226,2016-12-26,2016,12,26,Segunda-feira,0,4,0,0,
20161227,2016-12-27,2016,12,27,Terça-feira,0,4,0,0,
20161228,2016-12-28,2016,12,28,Quarta-feira,0,4,0,0,
20161229,2016-12-29,2016,12,29,Quinta-feira,0,4,0,0,
20161230,2016-12-30,2016,12,30,Sexta-feira,0,4,0,0,
20161231,2016-12-31,2016,12,31,Sábado,1,4,0,1,Véspera de Ano-Novo
20170101,2017-01-01,2017,1,1,Domingo,1,1,0,1,Confraternização Universal
20170102,2017-01-02,2017,1,2,Segunda-feira,0,1,0,0,
20170103,2017-01-03,2017,1,3,Terça-feira,0,1,0,0,
20170104,2017-01-04,2017,1,4,Quarta-feira,0,1,0,0,
20170105,2017-01-05,2017,1,5,Quinta-feira,0,1,0,0,
20170106,2017-01-06,2017,1,6,Sexta-feira,0,1,0,0,
20170107,2017-01-07,2017,1,7,Sábado,1,1,0,0,
20170108,2017-01-08,2017,1,8,Domingo,1,1,0,0,
20170109,2017-01-09,2017,1,9,Segunda-feira,0,1,0,0,
20170110,2017-01-10,2017,1,10,Terça-feira,0,1,0,0,
20170111,2017-01-11,2017,1,11,Quarta-feira,0,1,0,0,
20170112,2017-01-12,2017,1,12,Quinta-feira,0,1,0,0,
20170113,2017-01-13,2017,1,13,Sexta-feira,0,1,0,0,
20170114,2017-01-14,2017,1,14,Sábado,1,1,0,0,
20170115,2017-01-15,2017,1,15,Domingo,1,1,0,0,
20170116,2017-01-16,2017,1,16,Segunda-feira,0,1,0,0,
20170117,2017-01-17,2017,1,17,Terça-feira,0,1,0,0,
20170118,2017-01-18,2017,1,18,Quarta-feira,0,1,0,0,
20170119,2017-01-19,2017,1,19,Quinta-feira,0,1,0,0,
20170120,2017-01-20,2017,1,20,Sexta-feira,0,1,0,0,
20170121,2017-01-21,2017,1,21,Sábado,1,1,0,0,
20170122,2017-01-22,2017,1,22,Domingo,1,1,0,0,
20170123,2017-01-23,2017,1,23,Segunda-feira,0,1,0,0,
20170124,2017-01-24,2017,1,24,Terça-feira,0,1,0,0,
20170125,2017-01-25,2017,1,25,Quarta-feira,0,1,0,0,
20170126,2017-01-26,2017,1,26,Quinta-feira,0,1,0,0,
20170127,2017-01-27,2017,1,27,Sexta-feira,0,1,0,0,
20170128,2017-01-28,2017,1,28,Sábado,1,1,0,0,
20170129,2017-01-29,2017,1,29,Domingo,1,1,0,0,
20170130,2017-01-30,2017,1,30,Segunda-feira,0,1,0,0,
20170131,2017-01-31,2017,1,31,Terça-feira,0,1,0,0,
20170201,2017-02-01,2017,2,1,Quarta-feira,0,1,0,0,
20170202,2017-02-02,2017,2,2,Quinta-feira,0,1,0,0,
20170203,2017-02-03,2017,2,3,Sexta-feira,0,1,0,0,
20170204,2017-02-04,2017,2,4,Sábado,1,1,0,0,
20170205,2017-02-05,2017,2,5,Domingo,1,1,0,0,
20170206,2017-02-06,2017,2,6,Segunda-feira,0,1,0,0,
20170207,2017-02-07,2017,2,7,Terça-feira,0,1,0,0,
20170208,2017-02-08,2017,2,8,Quarta-feira,0,1,0,0,
